"GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_8: 0 to 4 years, - Total","v_CA11F_9: 0 to 4 years, - Male","v_CA11F_10: 0 to 4 years, - Female","v_CA11F_11: 5 to 9 years, - Total","v_CA11F_12: 5 to 9 years, - Male","v_CA11F_13: 5 to 9 years, - Female","v_CA11F_14: 10 to 14 years, - Total","v_CA11F_15: 10 to 14 years, - Male","v_CA11F_16: 10 to 14 years, - Female","v_CA11F_17: 15 to 19 years, - Total","v_CA11F_18: 15 to 19 years, - Male","v_CA11F_19: 15 to 19 years, - Female","v_CA11F_35: 20 to 24 years, - Total","v_CA11F_36: 20 to 24 years, - Male","v_CA11F_37: 20 to 24 years, - Female","v_CA11F_38: 25 to 29 years, - Total","v_CA11F_39: 25 to 29 years, - Male","v_CA11F_40: 25 to 29 years, - Female","v_CA11F_41: 30 to 34 years, - Total","v_CA11F_42: 30 to 34 years, - Male","v_CA11F_43: 30 to 34 years, - Female","v_CA11F_44: 35 to 39 years, - Total","v_CA11F_45: 35 to 39 years, - Male","v_CA11F_46: 35 to 39 years, - Female","v_CA11F_47: 40 to 44 years, - Total","v_CA11F_48: 40 to 44 years, - Male","v_CA11F_49: 40 to 44 years, - Female","v_CA11F_50: 45 to 49 years, - Total","v_CA11F_51: 45 to 49 years, - Male","v_CA11F_52: 45 to 49 years, - Female","v_CA11F_53: 50 to 54 years, - Total","v_CA11F_54: 50 to 54 years, - Male","v_CA11F_55: 50 to 54 years, - Female","v_CA11F_56: 55 to 59 years, - Total","v_CA11F_57: 55 to 59 years, - Male","v_CA11F_58: 55 to 59 years, - Female","v_CA11F_59: 60 to 64 years, - Total","v_CA11F_60: 60 to 64 years, - Male","v_CA11F_61: 60 to 64 years, - Female","v_CA11F_62: 65 to 69 years, - Total","v_CA11F_63: 65 to 69 years, - Male","v_CA11F_64: 65 to 69 years, - Female","v_CA11F_65: 70 to 74 years, - Total","v_CA11F_66: 70 to 74 years, - Male","v_CA11F_67: 70 to 74 years, - Female","v_CA11F_68: 75 to 79 years, - Total","v_CA11F_69: 75 to 79 years, - Male","v_CA11F_70: 75 to 79 years, - Female","v_CA11F_71: 80 to 84 years, - Total","v_CA11F_72: 80 to 84 years, - Male","v_CA11F_73: 80 to 84 years, - Female","v_CA11F_74: 85 years and over, - Total","v_CA11F_75: 85 years and over, - Male","v_CA11F_76: 85 years and over, - Female","v_CA11F_86: Married or living with a common-law partner, - Total","v_CA11F_95: Not married and not living with a common-law partner, - Total","v_CA11F_98: Single (never legally married), - Total","v_CA11F_101: Separated, - Total","v_CA11F_104: Divorced, - Total","v_CA11F_107: Widowed, - Total","v_CA11F_163: Average number of persons per census family, - Total","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling, - Total","v_CA11F_200: Single-detached house, - Total","v_CA11F_201: Apartment, building that has five or more storeys, - Total","v_CA11F_202: Movable dwelling, - Total","v_CA11F_203: Other dwelling, - Total","v_CA11F_211: 2 persons, - Total","v_CA11F_212: 3 persons, - Total","v_CA11F_213: 4 persons, - Total","v_CA11F_214: 5 persons, - Total","v_CA11F_215: 6 or more persons, - Total","v_CA11F_551: Knowledge of official languages - Total population excluding institutional residents, - Total","v_CA11F_552: Knowledge of official languages - Total population excluding institutional residents, - Male","v_CA11F_553: Knowledge of official languages - Total population excluding institutional residents, - Female","v_CA11F_554: English only, - Total","v_CA11F_555: English only, - Male","v_CA11F_556: English only, - Female","v_CA11F_557: French only, - Total","v_CA11F_558: French only, - Male","v_CA11F_559: French only, - Female","v_CA11F_560: English and French, - Total","v_CA11F_561: English and French, - Male","v_CA11F_562: English and French, - Female","v_CA11F_563: Neither English nor French, - Total","v_CA11F_564: Neither English nor French, - Male","v_CA11F_565: Neither English nor French, - Female","v_CA11N_19: Non-immigrants, - Total","v_CA11N_22: Immigrants, - Total","v_CA11N_46: Non-permanent residents, - Total","v_CA11N_505: North American Aboriginal origins, - Total","v_CA11N_517: Other North American origins, - Total","v_CA11N_547: European origins, - Total","v_CA11N_760: Caribbean origins, - Total","v_CA11N_820: Latin, Central and South American origins, - Total","v_CA11N_1084: West Central Asian and Middle Eastern origins, - Total","v_CA11N_1162: South Asian origins, - Total","v_CA11N_1204: East and Southeast Asian origins, - Total","v_CA11N_1258: Other Asian origins, - Total","v_CA11N_1264: Oceania origins, - Total","v_CA11N_1804: No certificate, diploma or degree, - Total","v_CA11N_1807: High school diploma or equivalent, - Total","v_CA11N_1813: Apprenticeship or trades certificate or diploma, - Total","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma, - Total","v_CA11N_1819: University certificate or diploma below bachelor level, - Total","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above, - Total","v_CA11N_1993: Employed, - Total","v_CA11N_1996: Unemployed, - Total","v_CA11N_1999: Not in the labour force, - Total","v_CA11N_2035: 0 Management occupations, - Total","v_CA11N_2041: 2 Natural and applied sciences and related occupations, - Total","v_CA11N_2044: 3 Health occupations, - Total","v_CA11N_2047: 4 Occupations in education, law and social, community and government services, - Total","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport, - Total","v_CA11N_2053: 6 Sales and service occupations, - Total","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations, - Total","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations, - Total","v_CA11N_2062: 9 Occupations in manufacturing and utilities, - Total","v_CA11N_2194: Car, truck or van - as a driver, - Total","v_CA11N_2197: Car, truck or van - as a passenger, - Total","v_CA11N_2200: Public transit, - Total","v_CA11N_2203: Walked, - Total","v_CA11N_2206: Bicycle, - Total","v_CA11N_2209: Other methods, - Total","v_CA11N_2282: % of owner households with a mortgage, - Total","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs, - Total","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($), - Total","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($), - Total","v_CA11N_2286: Median value of dwellings ($), - Total","v_CA11N_2287: Average value of dwellings ($), - Total","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings, - Total","v_CA11N_2289: % of tenant households in subsidized housing, - Total","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs, - Total","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($), - Total","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($), - Total","v_CA11N_2356: Under $5,000, - Total","v_CA11N_2359: $5,000 to $9,999, - Total","v_CA11N_2362: $10,000 to $14,999, - Total","v_CA11N_2365: $15,000 to $19,999, - Total","v_CA11N_2368: $20,000 to $29,999, - Total","v_CA11N_2371: $30,000 to $39,999, - Total","v_CA11N_2374: $40,000 to $49,999, - Total","v_CA11N_2377: $50,000 to $59,999, - Total","v_CA11N_2380: $60,000 to $79,999, - Total","v_CA11N_2383: $80,000 to $99,999, - Total","v_CA11N_2386: $100,000 and over, - Total","v_CA11N_2449: Median employment income in 2010 $, - Total","v_CA11N_2450: Median employment income in 2010 $, - Male","v_CA11N_2451: Median employment income in 2010 $, - Female","v_CA11N_2548: Under $5,000, - Total","v_CA11N_2549: $5,000 to $9,999, - Total","v_CA11N_2550: $10,000 to $14,999, - Total","v_CA11N_2551: $15,000 to $19,999, - Total","v_CA11N_2552: $20,000 to $29,999, - Total","v_CA11N_2553: $30,000 to $39,999, - Total","v_CA11N_2554: $40,000 to $49,999, - Total","v_CA11N_2555: $50,000 to $59,999, - Total","v_CA11N_2556: $60,000 to $79,999, - Total","v_CA11N_2557: $80,000 to $99,999, - Total","v_CA11N_2558: $100,000 and over, - Total","v_CA11N_2559: $100,000 to $124,999, - Total","v_CA11N_2560: $125,000 and over, - Total","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %, - Total"
"35580029","DA","Thunder Bay",13.10072,358,133,132,"3558004","3558","5950023.02","35595","0.474",10,5,5,15,5,10,30,15,10,25,15,15,20,15,10,20,10,5,15,5,5,15,5,10,25,10,20,30,20,10,45,20,20,25,10,15,35,20,10,10,5,5,20,10,10,10,5,0,5,5,5,0,0,0,205,110,75,15,5,10,2.9,135,135,0,0,0,60,20,20,15,5,360,180,175,330,175,160,0,0,0,25,15,15,0,0,0,315,95,0,0,45,380,0,0,0,0,0,0,0,0,60,45,65,0,45,180,10,115,10,0,15,65,0,35,30,0,0,155,0,0,0,0,0,33.3,0,701,950,300607,265868,0,0,0,0,0,10,0,40,15,25,60,30,20,55,0,0,65423,79885,33785,0,0,0,0,0,0,0,0,80,0,25,20,0,3.7
"35580030","DA","Thunder Bay",1.69301,585,202,201,"3558004","3558","5950023.02","35595","0.375",30,20,10,20,10,15,40,20,20,55,25,30,35,25,10,15,10,5,30,15,15,30,15,15,35,15,25,50,25,30,70,40,30,50,25,30,55,30,25,30,15,10,10,5,0,10,5,5,10,0,5,0,5,0,350,150,125,5,10,10,3.1,200,200,0,0,0,80,40,45,20,0,585,300,280,545,290,255,0,0,0,40,15,25,0,0,0,570,50,0,20,145,510,0,0,0,0,10,0,0,0,55,85,35,0,115,330,10,200,30,20,30,70,0,50,65,0,0,280,0,0,0,0,0,53.8,0,1379,1273,259550,274855,0,0,0,0,0,20,25,35,55,20,90,135,20,40,25,25,47913,45410,48821,0,0,0,0,0,0,0,10,55,45,80,25,55,2.4
"35580031","DA","Thunder Bay",2.51054,1035,363,361,"3558004","3558","5950023.02","35595","0.285",50,25,20,35,20,20,70,30,40,75,35,35,80,40,40,40,25,20,35,15,20,40,15,20,75,35,35,100,40,60,105,50,60,115,60,55,90,50,40,55,35,20,30,20,15,20,5,5,10,5,5,10,0,10,620,260,205,15,20,25,3,360,355,0,0,10,150,65,85,25,5,1030,510,525,950,475,480,0,0,0,75,35,40,0,0,0,950,55,25,25,225,955,0,0,0,0,0,0,0,40,190,65,100,0,135,510,45,295,65,0,20,75,0,115,140,20,0,470,30,0,0,0,0,36.8,5.8,708,957,252188,259810,0,0,0,0,0,70,25,45,55,85,135,120,85,105,35,40,60023,79913,50178,0,0,0,0,0,20,0,20,95,75,130,70,60,6.3
"35580032","DA","Thunder Bay",3.44409,639,240,239,"3558004","3558","5950023.02","35595","0.313",20,10,10,35,15,20,35,15,20,40,25,15,45,30,15,25,15,10,30,15,20,40,15,20,45,20,25,50,20,35,50,25,20,55,30,30,50,25,25,35,15,20,30,15,15,20,10,10,10,5,5,10,5,5,385,165,120,5,10,25,2.8,235,240,0,0,0,105,40,40,10,5,635,325,315,605,310,295,0,0,0,35,10,20,0,0,0,600,50,0,30,230,595,0,0,0,15,0,0,0,55,85,50,55,0,110,340,0,185,30,35,20,65,0,65,55,0,0,305,30,0,0,0,0,50,0,840,1085,200360,208868,25,0,0,703,754,30,35,50,55,55,70,90,55,65,0,0,59916,83512,52010,0,0,0,0,0,30,35,20,30,30,70,0,40,5.4
"35580033","DA","Thunder Bay",6.61305,659,259,255,"3558004","3558","5950023.02","35595","0.179",20,10,10,30,20,15,25,10,15,40,15,30,45,25,15,35,20,15,15,5,10,30,10,20,40,20,20,50,20,25,65,30,35,70,35,35,50,30,20,45,20,20,40,25,20,10,5,10,25,10,10,10,5,5,400,190,140,10,15,30,2.8,255,255,0,0,5,130,30,30,20,10,655,325,330,615,305,310,0,0,0,45,20,20,0,0,0,615,40,0,0,140,585,0,0,0,0,0,0,0,70,105,15,80,0,90,345,30,240,25,20,45,35,0,80,30,0,20,295,20,0,0,0,0,58,0,1090,1082,240476,272026,0,0,0,0,0,50,65,40,50,60,60,90,60,60,20,40,57053,72479,47376,0,0,0,0,0,0,25,15,75,40,85,25,55,0
"35580038","DA","Thunder Bay",3.33926,424,216,204,"3558004","3558","5950003.00","35595","0.27399999999999997",30,15,15,20,10,5,10,5,5,25,10,10,30,15,15,35,20,15,20,15,10,35,15,20,25,15,10,40,25,15,45,20,20,35,20,15,15,10,5,20,10,10,15,0,10,20,5,10,10,5,0,5,0,0,195,170,120,10,30,15,2.6,205,185,0,0,20,85,25,15,10,0,425,220,200,405,215,190,0,0,0,20,10,10,0,0,5,405,20,0,20,165,295,0,0,0,0,0,0,0,55,60,30,80,0,20,210,0,135,0,0,0,25,0,75,55,0,20,170,0,0,0,0,0,56.2,43.8,778,765,89625,91554,45,0,66.7,326,539,35,45,45,30,65,55,25,0,20,0,0,41110,44052,40486,0,50,0,0,20,20,25,20,35,0,0,0,0,33.3
"35580039","DA","Thunder Bay",0.18156,494,227,225,"3558004","3558","5950003.00","35595","0.452",30,15,15,25,15,10,25,15,10,20,15,5,30,15,10,30,15,15,30,15,15,35,15,20,35,15,20,40,20,20,50,25,25,40,20,20,35,20,15,20,15,10,15,10,5,15,0,10,15,10,10,5,5,0,225,190,120,15,25,30,2.8,225,190,0,0,30,85,35,20,10,5,495,255,240,480,245,235,0,0,0,15,10,5,5,0,0,480,15,0,80,120,365,0,0,0,0,0,0,0,80,80,75,50,0,25,225,0,155,60,0,0,20,0,70,15,0,0,170,0,0,0,0,0,56.8,30.6,867,878,120236,110532,40,0,0,872,779,55,0,25,50,115,60,40,20,0,0,0,39071,51451,20076,0,0,0,0,0,30,85,0,25,0,20,0,0,23.5
"35580040","DA","Thunder Bay",0.19949,436,206,198,"3558004","3558","5950003.00","35595","0.312",15,10,10,10,5,5,15,5,5,35,20,15,15,15,5,25,5,15,30,15,10,30,10,15,35,20,15,45,25,25,30,15,15,35,15,20,35,15,15,15,5,10,25,10,10,20,15,10,15,5,15,5,0,5,230,160,100,15,15,35,2.5,195,190,0,0,10,75,45,15,5,5,435,215,215,415,210,205,0,0,5,20,5,10,5,5,0,410,25,0,45,125,375,0,0,0,0,0,0,0,65,125,45,40,0,30,220,35,135,20,20,15,15,0,30,90,0,0,195,0,0,0,0,0,54.1,25,780,927,150120,166694,0,0,0,0,0,30,0,65,30,50,45,65,15,35,0,0,52847,52951,34846,0,0,0,0,0,25,0,25,15,35,35,20,0,2.3
"35580041","DA","Thunder Bay",0.2011,467,203,201,"3558004","3558","5950003.00","35595","0.28600000000000003",15,0,15,15,5,10,20,10,15,30,10,20,30,15,10,15,5,15,20,5,15,20,15,5,30,10,15,40,20,15,50,30,20,30,20,15,20,10,15,30,15,15,25,15,10,30,10,15,25,5,20,10,10,5,230,180,110,15,10,45,2.8,205,185,0,0,15,75,20,20,20,0,465,215,250,430,205,225,0,5,0,25,10,20,5,0,0,430,40,0,0,145,435,0,0,0,0,0,0,0,10,95,15,75,0,10,200,0,190,0,10,15,25,0,45,40,0,0,175,25,0,0,0,0,24.3,24.3,486,639,140104,145301,15,0,0,710,658,45,20,30,75,85,70,15,0,30,0,0,41205,63037,41041,0,0,0,0,25,55,0,0,20,0,20,0,0,22.6
"35580042","DA","Thunder Bay",0.12746,313,167,110,"3558004","3558","5950003.00","35595","0.41200000000000003",35,10,20,25,10,10,25,15,10,20,10,10,20,15,10,20,10,10,25,15,10,25,5,15,25,15,15,15,10,5,10,5,10,15,5,5,10,5,5,15,10,10,10,5,10,5,5,0,5,0,5,0,0,0,120,115,75,15,10,5,3.2,110,30,0,0,80,35,25,15,10,5,305,150,155,290,140,145,0,0,0,15,10,5,5,5,5,295,0,0,75,65,235,0,0,0,0,0,0,0,60,45,0,45,0,0,95,30,120,0,0,0,0,0,45,15,0,0,55,25,0,0,0,0,0,0,451,553,149519,157829,90,0,38.9,959,902,0,25,45,30,50,0,0,0,0,0,0,61260,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,35.5
